id_cliente,nome,data_nascimento,cidade,data_cadastro
1,Cliente_1,1959-12-28,Fortaleza,2018-04-13
2,Cliente_2,1974-09-04,Rio de Janeiro,2020-09-30
3,Cliente_3,1962-07-09,Fortaleza,2019-02-24
4,Cliente_4,1998-12-05,Salvador,2018-12-23
5,Cliente_5,1987-11-08,São Paulo,2018-05-11
6,Cliente_6,1958-05-29,Rio de Janeiro,2020-06-14
7,Cliente_7,1995-05-04,São Paulo,2024-10-01
8,Cliente_8,2000-05-08,Fortaleza,2020-03-25
9,Cliente_9,1998-11-21,Rio de Janeiro,2022-09-15
10,Cliente_10,1990-04-20,Belo Horizonte,2024-08-10
11,Cliente_11,1950-08-01,Fortaleza,2019-10-16
12,Cliente_12,1987-12-01,Belo Horizonte,2021-10-25
13,Cliente_13,1963-12-13,Brasília,2020-05-31
14,Cliente_14,1980-03-13,São Paulo,2019-02-23
15,Cliente_15,1984-02-01,Belo Horizonte,2019-02-01
16,Cliente_16,1980-11-09,Belo Horizonte,2024-10-08
17,Cliente_17,1953-11-24,Salvador,2023-02-25
18,Cliente_18,1961-03-14,São Paulo,2022-03-31
19,Cliente_19,1999-07-12,Brasília,2021-04-15
20,Cliente_20,1982-06-12,Rio de Janeiro,2024-06-22
21,Cliente_21,1956-03-29,Fortaleza,2018-07-07
22,Cliente_22,1970-06-12,São Paulo,2021-03-31
23,Cliente_23,1970-11-20,Curitiba,2019-02-18
24,Cliente_24,1974-12-09,Fortaleza,2023-02-01
25,Cliente_25,1982-09-24,Belo Horizonte,2019-10-29
26,Cliente_26,1981-11-15,Fortaleza,2020-05-08
27,Cliente_27,1973-12-14,Salvador,2018-10-20
28,Cliente_28,1965-05-09,Fortaleza,2023-12-28
29,Cliente_29,1971-12-18,Curitiba,2019-11-01
30,Cliente_30,1984-01-16,Fortaleza,2021-01-10
31,Cliente_31,1999-12-20,Fortaleza,2020-06-18
32,Cliente_32,1979-02-04,Rio de Janeiro,2018-08-18
33,Cliente_33,1952-11-17,Curitiba,2021-07-16
34,Cliente_34,1974-01-08,Rio de Janeiro,2018-09-29
35,Cliente_35,2000-11-19,Rio de Janeiro,2021-07-12
36,Cliente_36,1994-10-15,Fortaleza,2022-06-09
37,Cliente_37,1991-03-02,Belo Horizonte,2019-08-09
38,Cliente_38,1962-07-12,Fortaleza,2020-10-07
39,Cliente_39,2000-05-12,Belo Horizonte,2024-01-17
40,Cliente_40,2002-06-12,Salvador,2022-10-21
41,Cliente_41,1985-10-31,Rio de Janeiro,2022-01-22
42,Cliente_42,1962-05-30,Curitiba,2023-09-19
43,Cliente_43,1958-02-26,Brasília,2018-07-12
44,Cliente_44,1959-11-02,Fortaleza,2019-09-19
45,Cliente_45,1964-05-09,Salvador,2022-09-26
46,Cliente_46,1955-09-13,Curitiba,2022-04-26
47,Cliente_47,2003-06-18,Salvador,2023-04-02
48,Cliente_48,1972-07-22,Brasília,2024-03-16
49,Cliente_49,1951-01-12,Fortaleza,2019-04-15
50,Cliente_50,1998-03-05,Brasília,2020-12-28
51,Cliente_51,1980-07-08,Belo Horizonte,2019-04-02
52,Cliente_52,1989-01-02,Curitiba,2019-10-10
53,Cliente_53,1950-04-17,Salvador,2020-12-14
54,Cliente_54,1966-01-11,São Paulo,2023-09-11
55,Cliente_55,1976-10-10,Salvador,2023-09-11
56,Cliente_56,1967-11-05,Belo Horizonte,2019-09-19
57,Cliente_57,1964-06-29,Brasília,2024-01-19
58,Cliente_58,1997-07-31,Salvador,2018-01-03
59,Cliente_59,1979-01-30,São Paulo,2023-06-25
60,Cliente_60,1960-01-14,Brasília,2022-01-26
61,Cliente_61,1977-08-03,São Paulo,2020-09-07
62,Cliente_62,1971-08-11,São Paulo,2024-05-12
63,Cliente_63,1957-09-07,Brasília,2023-06-14
64,Cliente_64,1956-03-17,Brasília,2023-12-22
65,Cliente_65,1961-04-13,Fortaleza,2019-06-10
66,Cliente_66,1992-08-22,Rio de Janeiro,2024-03-01
67,Cliente_67,1973-10-12,Brasília,2023-12-02
68,Cliente_68,2004-06-02,Rio de Janeiro,2022-09-30
69,Cliente_69,1998-05-20,Fortaleza,2020-04-03
70,Cliente_70,1977-12-19,Fortaleza,2022-06-23
71,Cliente_71,1983-07-03,Salvador,2022-11-30
72,Cliente_72,1990-07-04,Rio de Janeiro,2019-05-11
73,Cliente_73,1970-02-27,Belo Horizonte,2018-09-20
74,Cliente_74,1951-11-21,Salvador,2024-08-06
75,Cliente_75,1970-08-24,Rio de Janeiro,2024-08-07
76,Cliente_76,1950-08-24,Fortaleza,2018-10-18
77,Cliente_77,1955-04-14,São Paulo,2020-07-26
78,Cliente_78,1952-10-26,São Paulo,2021-09-15
79,Cliente_79,1996-02-16,Belo Horizonte,2020-09-01
80,Cliente_80,1993-07-20,Salvador,2020-05-27
81,Cliente_81,1961-11-14,Salvador,2024-05-27
82,Cliente_82,1992-05-28,Brasília,2020-09-22
83,Cliente_83,1992-06-07,Rio de Janeiro,2022-07-26
84,Cliente_84,1958-06-18,Fortaleza,2019-02-02
85,Cliente_85,1988-09-02,Curitiba,2021-12-22
86,Cliente_86,1986-11-18,Brasília,2023-03-28
87,Cliente_87,1954-11-11,São Paulo,2019-02-08
88,Cliente_88,1986-02-14,Brasília,2021-10-21
89,Cliente_89,1959-10-21,Rio de Janeiro,2020-10-15
90,Cliente_90,1967-01-24,Curitiba,2024-01-06
91,Cliente_91,1962-07-30,Rio de Janeiro,2022-09-25
92,Cliente_92,1974-12-28,Rio de Janeiro,2023-03-10
93,Cliente_93,1956-10-06,Brasília,2022-12-21
94,Cliente_94,1999-05-17,São Paulo,2019-02-06
95,Cliente_95,1998-07-01,São Paulo,2018-03-02
96,Cliente_96,1971-03-17,Curitiba,2019-11-13
97,Cliente_97,1993-07-27,Rio de Janeiro,2023-05-26
98,Cliente_98,1985-12-24,Rio de Janeiro,2018-08-29
99,Cliente_99,1984-01-01,Curitiba,2018-01-09
100,Cliente_100,1973-10-17,Belo Horizonte,2023-02-07
101,Cliente_101,1987-12-14,Fortaleza,2024-03-26
102,Cliente_102,1993-08-30,Rio de Janeiro,2019-09-27
103,Cliente_103,1976-08-14,São Paulo,2020-06-10
104,Cliente_104,2001-12-17,São Paulo,2024-01-30
105,Cliente_105,1978-02-19,São Paulo,2018-08-23
106,Cliente_106,2002-05-30,Salvador,2023-05-07
107,Cliente_107,1997-08-25,São Paulo,2019-10-07
108,Cliente_108,1995-07-24,Brasília,2018-11-25
109,Cliente_109,1966-09-03,Salvador,2018-10-08
110,Cliente_110,1956-02-05,Curitiba,2020-08-21
111,Cliente_111,1960-10-03,Rio de Janeiro,2024-05-22
112,Cliente_112,2001-12-09,São Paulo,2024-09-01
113,Cliente_113,1957-05-10,Fortaleza,2022-09-14
114,Cliente_114,2002-05-13,Salvador,2024-05-04
115,Cliente_115,1978-05-20,Rio de Janeiro,2020-12-04
116,Cliente_116,1978-03-10,Belo Horizonte,2020-09-04
117,Cliente_117,1985-07-05,Fortaleza,2019-06-21
118,Cliente_118,1976-11-30,Belo Horizonte,2023-02-16
119,Cliente_119,1956-07-05,Curitiba,2018-02-08
120,Cliente_120,2000-07-05,São Paulo,2019-02-14
121,Cliente_121,1998-03-27,Salvador,2020-05-23
122,Cliente_122,1973-10-17,Belo Horizonte,2019-06-27
123,Cliente_123,1956-03-04,Belo Horizonte,2020-09-27
124,Cliente_124,1975-07-27,Curitiba,2019-10-09
125,Cliente_125,1998-09-26,Salvador,2021-05-24
126,Cliente_126,1997-06-15,Fortaleza,2018-02-02
127,Cliente_127,1999-10-04,Fortaleza,2021-05-11
128,Cliente_128,1959-04-18,Belo Horizonte,2019-07-05
129,Cliente_129,1960-05-10,Fortaleza,2019-03-15
130,Cliente_130,1999-08-20,Belo Horizonte,2019-09-29
131,Cliente_131,1975-04-12,Rio de Janeiro,2024-10-13
132,Cliente_132,1980-10-05,Fortaleza,2020-04-13
133,Cliente_133,1973-09-07,Curitiba,2023-09-02
134,Cliente_134,1972-07-12,São Paulo,2018-07-28
135,Cliente_135,1988-01-01,São Paulo,2021-02-07
136,Cliente_136,1950-04-27,Brasília,2021-09-28
137,Cliente_137,1961-09-26,Rio de Janeiro,2020-12-08
138,Cliente_138,1989-08-22,Fortaleza,2024-03-09
139,Cliente_139,1988-05-15,São Paulo,2024-04-16
140,Cliente_140,1960-01-14,Fortaleza,2018-11-05
141,Cliente_141,1963-05-17,São Paulo,2024-02-13
142,Cliente_142,1983-02-15,Salvador,2024-07-13
143,Cliente_143,1963-04-15,Rio de Janeiro,2022-10-27
144,Cliente_144,1953-10-02,Belo Horizonte,2021-06-16
145,Cliente_145,1953-07-31,Rio de Janeiro,2022-01-05
146,Cliente_146,1972-05-21,Belo Horizonte,2019-02-26
147,Cliente_147,2000-03-25,Salvador,2022-07-23
148,Cliente_148,1963-11-13,Brasília,2020-08-27
149,Cliente_149,1964-07-30,Curitiba,2019-12-27
150,Cliente_150,1952-03-23,Fortaleza,2020-01-05
151,Cliente_151,1979-10-21,Brasília,2022-08-14
152,Cliente_152,1972-04-06,Rio de Janeiro,2020-12-28
153,Cliente_153,1959-09-13,Brasília,2022-04-16
154,Cliente_154,1953-06-22,Rio de Janeiro,2023-04-12
155,Cliente_155,1967-11-27,Belo Horizonte,2023-03-01
156,Cliente_156,1977-05-19,Rio de Janeiro,2020-07-21
157,Cliente_157,1952-02-15,Curitiba,2020-03-02
158,Cliente_158,1979-06-14,Brasília,2021-02-15
159,Cliente_159,1956-03-24,Belo Horizonte,2021-02-17
160,Cliente_160,1995-09-14,Fortaleza,2022-06-26
161,Cliente_161,1998-02-08,São Paulo,2021-09-18
162,Cliente_162,1960-05-07,Rio de Janeiro,2020-12-05
163,Cliente_163,2002-02-01,São Paulo,2020-12-23
164,Cliente_164,1959-09-23,Curitiba,2024-09-09
165,Cliente_165,1981-01-05,Curitiba,2021-07-08
166,Cliente_166,2004-05-21,São Paulo,2023-09-26
167,Cliente_167,1984-07-23,Rio de Janeiro,2024-06-19
168,Cliente_168,1972-11-07,Fortaleza,2018-07-01
169,Cliente_169,1989-02-13,Salvador,2018-01-07
170,Cliente_170,1998-04-22,Belo Horizonte,2020-03-18
171,Cliente_171,1988-09-10,Fortaleza,2018-10-14
172,Cliente_172,1979-08-16,Fortaleza,2021-07-09
173,Cliente_173,1961-03-07,Salvador,2021-05-15
174,Cliente_174,1977-09-30,Belo Horizonte,2022-07-31
175,Cliente_175,1986-02-06,Salvador,2021-04-26
176,Cliente_176,1961-06-02,Curitiba,2020-02-25
177,Cliente_177,1984-01-06,Salvador,2019-12-14
178,Cliente_178,2001-01-21,Curitiba,2021-05-17
179,Cliente_179,1999-02-27,Belo Horizonte,2018-01-02
180,Cliente_180,1975-09-28,Curitiba,2020-05-10
181,Cliente_181,2002-01-12,Fortaleza,2024-10-20
182,Cliente_182,1978-11-29,Curitiba,2023-03-20
183,Cliente_183,1989-09-01,Salvador,2020-05-25
184,Cliente_184,1992-06-14,Fortaleza,2019-11-27
185,Cliente_185,1957-08-10,Salvador,2021-03-08
186,Cliente_186,1980-01-27,Brasília,2019-01-18
187,Cliente_187,1971-01-27,Rio de Janeiro,2021-06-25
188,Cliente_188,1967-11-13,São Paulo,2019-08-27
189,Cliente_189,1954-02-23,Curitiba,2020-09-29
190,Cliente_190,1956-07-14,Curitiba,2023-02-09
191,Cliente_191,2001-08-24,Fortaleza,2020-03-07
192,Cliente_192,1984-06-13,Curitiba,2023-07-18
193,Cliente_193,1971-11-21,Fortaleza,2019-08-28
194,Cliente_194,1950-07-01,Brasília,2019-03-13
195,Cliente_195,1988-02-22,Rio de Janeiro,2020-06-15
196,Cliente_196,1996-06-20,São Paulo,2023-03-18
197,Cliente_197,2000-01-04,Brasília,2020-10-17
198,Cliente_198,1960-11-20,Rio de Janeiro,2023-02-13
199,Cliente_199,1991-09-08,Salvador,2023-12-16
200,Cliente_200,2003-06-03,Brasília,2021-07-23
201,Cliente_201,1989-09-15,Curitiba,2023-08-30
202,Cliente_202,1999-02-25,Rio de Janeiro,2023-01-01
203,Cliente_203,1992-08-02,Belo Horizonte,2023-01-18
204,Cliente_204,1972-03-07,Brasília,2021-02-09
205,Cliente_205,1996-10-07,Fortaleza,2023-06-08
206,Cliente_206,1971-06-19,Curitiba,2021-01-29
207,Cliente_207,1956-12-13,Rio de Janeiro,2021-03-16
208,Cliente_208,1974-05-18,Belo Horizonte,2021-10-07
209,Cliente_209,1998-06-17,Rio de Janeiro,2018-11-27
210,Cliente_210,1963-07-14,Curitiba,2020-08-05
211,Cliente_211,1963-09-17,São Paulo,2020-05-26
212,Cliente_212,1987-03-22,Belo Horizonte,2022-07-28
213,Cliente_213,1998-09-06,Curitiba,2023-03-24
214,Cliente_214,1955-08-03,Brasília,2020-04-27
215,Cliente_215,1987-09-11,Brasília,2022-05-15
216,Cliente_216,2002-05-27,Brasília,2018-03-22
217,Cliente_217,2001-08-25,Curitiba,2022-04-08
218,Cliente_218,1950-07-13,Belo Horizonte,2021-12-11
219,Cliente_219,1984-12-27,Salvador,2022-09-13
220,Cliente_220,1998-12-30,Rio de Janeiro,2024-10-06
221,Cliente_221,1993-10-20,Belo Horizonte,2020-06-17
222,Cliente_222,1989-02-06,São Paulo,2023-06-13
223,Cliente_223,1984-11-20,Fortaleza,2021-10-08
224,Cliente_224,1986-04-10,Brasília,2019-11-08
225,Cliente_225,1991-12-07,Salvador,2019-06-07
226,Cliente_226,1997-12-02,Curitiba,2018-04-21
227,Cliente_227,2003-02-07,Fortaleza,2024-04-30
228,Cliente_228,1952-06-07,Fortaleza,2018-12-10
229,Cliente_229,1988-06-14,Brasília,2019-07-10
230,Cliente_230,1991-06-03,São Paulo,2020-01-15
231,Cliente_231,1973-05-04,Belo Horizonte,2022-04-02
232,Cliente_232,1968-12-27,Belo Horizonte,2023-02-06
233,Cliente_233,1980-04-12,Belo Horizonte,2022-04-02
234,Cliente_234,1987-10-27,Brasília,2020-10-30
235,Cliente_235,1957-05-07,São Paulo,2023-04-11
236,Cliente_236,1998-05-24,Belo Horizonte,2018-08-02
237,Cliente_237,1970-02-12,Brasília,2018-10-09
238,Cliente_238,1953-08-12,Rio de Janeiro,2018-05-08
239,Cliente_239,1967-11-20,Salvador,2018-03-25
240,Cliente_240,1963-09-03,Rio de Janeiro,2020-09-04
241,Cliente_241,1992-06-26,Salvador,2019-04-14
242,Cliente_242,1969-07-22,Fortaleza,2023-03-20
243,Cliente_243,1972-12-27,Rio de Janeiro,2022-02-19
244,Cliente_244,2004-05-10,Fortaleza,2024-10-23
245,Cliente_245,1960-04-11,Belo Horizonte,2019-11-02
246,Cliente_246,1959-09-13,São Paulo,2024-06-28
247,Cliente_247,1977-12-27,Fortaleza,2024-06-16
248,Cliente_248,1983-09-03,Fortaleza,2022-06-13
249,Cliente_249,1967-10-17,Salvador,2018-11-08
250,Cliente_250,1971-10-15,Fortaleza,2019-02-22
251,Cliente_251,1977-01-21,Brasília,2024-09-25
252,Cliente_252,1960-11-10,Brasília,2024-05-07
253,Cliente_253,1953-09-07,Salvador,2021-11-23
254,Cliente_254,1988-06-07,São Paulo,2022-02-26
255,Cliente_255,1995-05-24,São Paulo,2021-10-29
256,Cliente_256,1987-09-08,São Paulo,2023-07-01
257,Cliente_257,1988-11-22,Fortaleza,2022-01-23
258,Cliente_258,1991-03-31,Curitiba,2019-09-19
259,Cliente_259,1965-10-20,Fortaleza,2023-11-08
260,Cliente_260,1974-03-26,Brasília,2024-01-14
261,Cliente_261,1993-05-18,Curitiba,2023-03-20
262,Cliente_262,2003-02-26,Belo Horizonte,2021-01-04
263,Cliente_263,1972-01-10,Belo Horizonte,2018-12-21
264,Cliente_264,1990-06-11,Brasília,2020-09-25
265,Cliente_265,1991-09-10,Salvador,2024-05-23
266,Cliente_266,1984-01-01,São Paulo,2021-10-09
267,Cliente_267,1994-05-07,Rio de Janeiro,2021-08-24
268,Cliente_268,1993-09-28,Belo Horizonte,2020-05-18
269,Cliente_269,1973-03-06,Belo Horizonte,2021-10-26
270,Cliente_270,2003-06-26,Salvador,2021-02-05
271,Cliente_271,1950-11-29,Rio de Janeiro,2023-10-18
272,Cliente_272,1957-09-06,Fortaleza,2020-09-15
273,Cliente_273,1986-06-18,Salvador,2023-06-25
274,Cliente_274,1971-07-24,Fortaleza,2023-05-05
275,Cliente_275,1994-01-13,Brasília,2023-01-10
276,Cliente_276,1951-07-20,Belo Horizonte,2019-01-17
277,Cliente_277,1969-11-18,Fortaleza,2022-07-15
278,Cliente_278,1971-10-30,Fortaleza,2021-06-08
279,Cliente_279,2002-03-05,Curitiba,2022-02-20
280,Cliente_280,1999-08-28,Belo Horizonte,2023-12-15
281,Cliente_281,1988-03-04,Belo Horizonte,2024-03-04
282,Cliente_282,1981-07-25,Belo Horizonte,2023-02-02
283,Cliente_283,1977-07-05,Rio de Janeiro,2020-10-26
284,Cliente_284,1960-10-28,Belo Horizonte,2020-02-28
285,Cliente_285,1960-09-22,Brasília,2024-01-04
286,Cliente_286,1966-08-11,Rio de Janeiro,2020-02-24
287,Cliente_287,1993-06-10,Fortaleza,2021-02-06
288,Cliente_288,2002-11-23,Salvador,2023-11-19
289,Cliente_289,1975-05-23,Brasília,2019-02-16
290,Cliente_290,1967-06-01,Rio de Janeiro,2021-04-28
291,Cliente_291,1982-05-18,Belo Horizonte,2020-01-05
292,Cliente_292,1951-04-09,Rio de Janeiro,2023-12-28
293,Cliente_293,1974-08-11,São Paulo,2018-07-06
294,Cliente_294,1999-08-24,Fortaleza,2021-04-11
295,Cliente_295,1961-04-30,São Paulo,2023-07-04
296,Cliente_296,1951-02-06,Belo Horizonte,2024-06-09
297,Cliente_297,1992-02-11,Curitiba,2023-05-15
298,Cliente_298,1980-07-26,São Paulo,2020-01-26
299,Cliente_299,1972-08-26,São Paulo,2023-05-11
300,Cliente_300,1955-11-12,Curitiba,2022-06-30
301,Cliente_301,1956-08-24,Fortaleza,2024-06-21
302,Cliente_302,1954-10-23,Rio de Janeiro,2019-09-14
303,Cliente_303,2000-06-30,São Paulo,2021-05-29
304,Cliente_304,1972-04-07,Salvador,2019-05-01
305,Cliente_305,1987-05-04,Salvador,2024-10-19
306,Cliente_306,1970-04-01,Curitiba,2023-11-11
307,Cliente_307,1990-06-02,Belo Horizonte,2022-12-19
308,Cliente_308,2002-10-19,Belo Horizonte,2022-10-23
309,Cliente_309,2001-01-05,Salvador,2018-09-04
310,Cliente_310,1958-11-26,Fortaleza,2020-05-01
311,Cliente_311,1968-12-06,Fortaleza,2020-12-19
312,Cliente_312,1957-04-14,Rio de Janeiro,2019-10-06
313,Cliente_313,1965-08-05,São Paulo,2024-03-10
314,Cliente_314,1964-01-17,Curitiba,2018-01-11
315,Cliente_315,1990-06-02,Curitiba,2024-08-29
316,Cliente_316,1976-02-17,Rio de Janeiro,2018-05-14
317,Cliente_317,1975-11-06,Fortaleza,2021-03-04
318,Cliente_318,1990-09-25,Fortaleza,2018-10-19
319,Cliente_319,1970-12-10,Brasília,2020-12-19
320,Cliente_320,2002-11-30,Curitiba,2020-03-21
321,Cliente_321,1960-04-18,Rio de Janeiro,2024-02-09
322,Cliente_322,1963-05-15,Brasília,2020-12-24
323,Cliente_323,1962-10-05,São Paulo,2018-10-20
324,Cliente_324,1964-11-19,Salvador,2021-06-13
325,Cliente_325,2001-01-24,Curitiba,2021-03-28
326,Cliente_326,1961-02-26,Fortaleza,2023-04-04
327,Cliente_327,1977-04-13,Belo Horizonte,2022-07-07
328,Cliente_328,1994-11-25,Curitiba,2024-01-21
329,Cliente_329,1989-04-10,Salvador,2018-11-26
330,Cliente_330,1953-07-30,Fortaleza,2022-11-05
331,Cliente_331,1978-12-01,Belo Horizonte,2024-10-08
332,Cliente_332,1952-04-27,Rio de Janeiro,2019-01-10
333,Cliente_333,2001-08-09,São Paulo,2024-08-01
334,Cliente_334,1974-03-07,São Paulo,2024-06-18
335,Cliente_335,1965-09-19,Salvador,2023-04-12
336,Cliente_336,1989-09-03,Rio de Janeiro,2021-02-13
337,Cliente_337,2002-07-07,Fortaleza,2022-11-21
338,Cliente_338,1994-02-11,Curitiba,2019-01-09
339,Cliente_339,1981-03-20,Belo Horizonte,2022-07-31
340,Cliente_340,1978-10-21,Brasília,2019-03-05
341,Cliente_341,1964-06-05,Curitiba,2021-09-12
342,Cliente_342,1994-06-14,Fortaleza,2021-03-26
343,Cliente_343,1985-12-05,São Paulo,2024-03-03
344,Cliente_344,1990-10-21,Belo Horizonte,2018-12-27
345,Cliente_345,1972-08-23,São Paulo,2021-08-17
346,Cliente_346,1986-04-06,Brasília,2023-10-09
347,Cliente_347,1950-02-07,Curitiba,2024-02-01
348,Cliente_348,1987-01-28,Rio de Janeiro,2018-08-11
349,Cliente_349,1996-07-06,Salvador,2022-01-21
350,Cliente_350,1994-09-21,Brasília,2022-12-16
351,Cliente_351,1954-08-19,Belo Horizonte,2020-04-13
